age,monthly_charges,tenure,n_monthly_visits,monthly_products,total_charges,irrelevant_1,irrelevant_2
67,2503,63,6,12.0,233761.47,0.45,1.24
39,791,22,9,2.0,9799.07,0.33,-1.35
58,2499,25,2,11.0,53397.44,0.97,-0.78
73,1761,32,1,7.0,59443.79,0.11,-0.39
32,1814,12,7,9.0,31474.97,0.22,0.8
72,1238,30,3,4.0,27398.83,0.32,0.61
44,2137,24,2,6.0,50821.62,0.19,1.24
77,377,64,4,1.0,27777.17,0.62,-0.5
35,2804,28,9,16.0,116921.96,0.92,0.23
69,1158,47,4,4.0,45765.72,0.14,-1.21
43,1084,48,5,2.0,29753.67,0.01,-1.01
61,159,57,6,1.0,5523.74,0.32,1.04
46,206,44,1,1.0,8098.6,0.91,-0.87
50,887,53,0,4.0,47060.35,0.66,1.12
63,567,40,8,5.0,23796.63,0.51,0.02
50,2965,54,4,11.0,204060.37,0.81,0.97
64,2044,31,2,10.0,92948.64,0.74,-0.13
46,24,21,0,4.0,544.79,0.41,0.47
74,2184,39,6,9.0,125875.35,0.46,2.94
78,956,45,4,2.0,22753.58,0.33,-0.39
76,2288,54,6,8.0,178887.23,0.97,-0.69
68,1509,32,9,4.0,68929.36,0.3,-1.8
48,2631,26,0,7.0,72762.19,0.32,-0.65
25,384,39,2,1.0,16877.4,0.45,-0.82
36,2758,42,0,12.0,94635.14,0.13,-0.55
29,1119,41,6,4.0,32091.26,0.52,1.32
74,1382,45,0,3.0,71410.06,0.29,-0.58
67,1276,37,6,4.0,49465.44,0.96,-1.15
70,2912,42,7,11.0,95198.53,0.86,-1.18
68,1882,34,0,6.0,50946.91,0.52,-0.11
79,944,35,7,6.0,24937.53,0.58,-1.03
32,1550,10,7,5.0,12342.34,0.93,-0.13
57,1209,50,8,3.0,50864.35,0.64,-0.06
54,2328,51,6,11.0,76931.16,0.88,0.23
58,2318,21,7,10.0,33859.87,0.89,0.51
78,2941,64,7,12.0,138073.16,0.3,-0.79
23,2300,4,5,7.0,13214.26,0.88,-0.11
59,1657,42,3,5.0,100285.42,0.09,-0.56
31,1199,13,3,9.0,18813.96,0.93,-1.79
20,144,4,3,1.0,519.72,0.23,-0.19
61,2871,33,4,12.0,129151.81,0.54,0.26
31,220,14,1,1.0,4261.15,0.94,-0.17
36,1289,27,0,4.0,35662.56,0.95,0.6
23,2215,3,1,6.0,3462.44,0.28,-0.42
22,2321,2,6,10.0,3220.57,0.38,0.86
39,1892,23,0,9.0,57234.71,0.87,-1.43
32,862,23,6,6.0,26635.29,0.8,-0.11
21,1147,2,1,2.0,2895.45,0.83,0.18
31,1560,31,9,7.0,67073.7,0.36,0.25
71,1728,28,3,9.0,55784.89,0.84,-0.43
63,1308,39,5,9.0,47309.97,0.52,0.53
78,1206,55,3,5.0,75993.03,0.42,0.64
37,2845,41,6,10.0,79769.95,0.62,-2.52
34,1902,37,5,8.0,87870.21,0.92,-0.18
71,2861,58,8,7.0,238254.16,0.79,-1.9
27,2182,15,9,7.0,48115.05,0.07,0.22
62,645,48,1,2.0,24844.63,0.1,0.34
63,1912,31,6,6.0,45096.53,0.79,0.34
66,635,58,0,3.0,25028.27,0.92,-1.27
48,1187,31,8,3.0,19299.53,0.16,-1.69
37,2122,35,2,7.0,49615.09,0.0,-0.75
43,1436,31,4,6.0,44715.99,0.39,1.55
33,2591,26,2,11.0,33695.49,0.1,-0.18
72,1593,27,0,8.0,60048.11,0.33,-0.1
52,711,25,6,2.0,13420.92,0.94,-0.11
32,2669,42,0,9.0,114864.32,0.51,0.22
25,752,40,8,6.0,24295.62,0.64,-0.12
69,1133,58,7,4.0,56719.88,0.35,-0.08
51,2419,42,6,8.0,127121.24,0.15,-0.68
57,950,19,0,5.0,13868.9,0.41,0.0
51,1363,52,7,2.0,50970.4,0.93,0.64
77,2360,58,4,6.0,172578.35,0.54,-0.65
45,837,38,7,4.0,24657.31,0.25,-0.82
40,2722,27,0,9.0,103815.7,0.99,-1.51
65,919,36,4,4.0,41292.01,0.35,-1.38
36,691,9,0,3.0,5574.85,0.86,-0.47
61,119,38,8,1.0,4534.33,0.9,1.53
28,233,6,4,4.0,844.3,0.63,1.33
76,2924,64,8,11.0,201497.15,0.4,0.99
64,2803,52,1,15.0,93409.7,0.55,0.93
26,1871,42,1,8.0,81957.1,0.11,0.75
76,478,62,5,2.0,41930.96,0.41,-1.58
42,106,31,0,1.0,2357.58,0.15,-1.35
64,706,34,4,4.0,28347.1,0.89,1.0
46,2448,38,3,8.0,125779.3,0.87,1.86
39,278,39,2,1.0,10241.68,0.4,0.73
67,2792,63,6,10.0,104005.07,0.51,0.34
69,2823,30,0,6.0,64157.9,0.03,-0.0
38,2962,24,2,8.0,62844.87,0.66,0.89
41,2640,30,8,10.0,62023.95,0.66,-0.34
66,379,36,3,4.0,10115.02,0.7,1.14
54,2967,34,7,10.0,104421.96,0.19,1.48
57,1871,56,4,5.0,90971.84,0.04,-0.13
65,264,43,6,1.0,13047.75,0.56,-0.76
58,2243,20,6,8.0,49565.05,0.98,0.14
27,104,26,2,1.0,2301.15,0.44,-0.8
56,2689,37,9,9.0,75393.75,0.34,0.55
23,405,25,9,3.0,13691.09,0.0,-1.12
25,2311,31,9,5.0,68011.6,0.61,1.46
66,485,38,6,1.0,20560.05,0.52,0.85
67,1209,43,9,5.0,33147.32,0.19,0.08
74,1094,56,4,5.0,66698.74,0.62,0.66
72,2153,37,6,11.0,105887.64,0.0,1.22
74,1813,62,4,8.0,63252.95,0.28,-0.36
67,2013,59,7,10.0,80862.24,0.86,-0.66
35,397,17,0,1.0,3411.56,0.69,1.54
54,826,27,0,4.0,30827.66,0.23,-0.9
30,1928,38,9,9.0,98041.36,0.33,-1.29
48,1073,35,9,3.0,34290.58,0.53,0.26
24,2355,20,9,11.0,66601.65,0.02,-0.91
38,1937,38,5,9.0,109972.67,0.18,0.65
59,151,23,7,2.0,3852.12,0.86,0.41
45,1071,46,7,1.0,29303.91,0.05,-1.1
75,664,51,8,1.0,39266.28,0.83,-0.38
63,2326,57,1,10.0,184540.66,0.04,2.97
34,2549,28,3,8.0,85048.76,0.73,-2.48
43,2921,15,4,15.0,32467.53,0.25,0.08
70,2812,26,2,9.0,97553.14,0.18,1.8
77,2649,54,6,7.0,97540.51,0.98,0.98
75,233,60,3,1.0,12489.7,0.85,1.1
40,1483,40,3,6.0,86416.29,0.85,-0.09
61,2116,58,8,7.0,77290.98,0.47,-0.68
20,1050,26,2,6.0,24168.33,0.59,1.47
77,355,49,3,1.0,20772.18,0.9,-0.46
54,848,22,9,5.0,14122.86,0.14,0.44
77,34,64,5,1.0,3223.68,0.71,-1.15
46,959,23,8,3.0,17154.21,0.41,-1.7
53,2719,33,7,5.0,125902.37,0.89,-1.73
70,1768,37,8,3.0,79900.87,0.62,-0.91
77,835,66,3,3.0,49740.15,0.15,0.35
69,2275,39,5,8.0,81490.89,0.96,0.21
41,2312,16,8,11.0,33493.76,0.54,1.16
27,815,26,2,4.0,22644.89,0.09,1.13
24,123,33,5,1.0,5285.78,0.92,0.05
75,270,40,2,2.0,14970.84,0.18,-1.56
59,2561,21,9,11.0,74022.26,0.91,-1.38
37,13,21,8,1.0,362.42,0.28,-1.03
78,1643,64,0,8.0,77434.19,0.91,-0.18
72,1560,59,1,5.0,118956.94,0.55,0.38
20,1202,32,6,7.0,34545.09,0.5,0.18
41,1035,48,4,1.0,56495.48,0.75,0.89
72,876,39,1,4.0,18250.69,0.29,-0.59
61,1080,36,7,4.0,42979.76,0.14,0.06
70,92,65,3,1.0,5520.44,0.44,-0.74
61,2775,48,5,10.0,169680.07,0.35,0.53
21,845,40,0,2.0,39574.01,0.52,-0.42
34,57,45,8,3.0,3136.61,0.77,-2.56
23,1283,11,5,6.0,16651.6,0.27,1.44
50,2106,17,4,8.0,26183.02,0.56,0.48
